Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
210095,PEDIGREE CHOICE CUTS W/BEEF,2310001527, 24 , 21 , 3 ,88%,$20 ,$18 
986760,PEDIGREE CHOICE CUTS W/BEEF,2310001530, 0 , 8 ,(8),N/A,$0 ,$11 
492371,PEDIGREE PUPPY CMPLT NUTRITION,2310001538, 2 , 2 , 0 ,100%,$27 ,$27 
13791,CESAR FILET MIGNON FLAVOR,2310001779, 0 , 6 ,(6),N/A,$0 ,$5 
206562,PEDIGREE GROUND W/CHICKEN/RICE,2310001907, 12 , 18 ,(6),150%,$10 ,$15 
312794,PEDIGREE DENTASTIX LRG SM BOX,2310002347, 0 , 1 ,(1),N/A,$0 ,$3 
15370,CESAR PORTERHOUSE STEAK FLAVOR,2310002451, 24 , 8 , 16 ,33%,$19 ,$6 
54920,CESAR GRILLED CHICKEN FLAVOR,2310002452, 0 , 17 ,(17),N/A,$0 ,$13 
86138,CESAR PUPPY W/CHICKEN & BEEF,2310002607, 0 , 2 ,(2),N/A,$0 ,$2 
601919,PDGR CHPD CK/BF & BF/BC 12CT,2310003320, 4 , 5 ,(1),125%,$39 ,$49 
36126,PEDIGREE BEEF VARIETY 12PK CAN,2310003321, 4 , 5 ,(1),125%,$39 ,$49 
11649,CESAR TOP SIRLOIN FLAVOR,2310005672, 0 , 5 ,(5),N/A,$0 ,$4 
72444,TEMPTATIONS HAIRBLL CONTRL CHK,2310008541, 12 , 8 , 4 ,67%,$18 ,$12 
236992,TEMPTATIONS MIX UPS CATNIP FEV,2310010155, 0 , 3 ,(3),N/A,$0 ,$5 
312799,PEDIGREE DENTASTIX MIN MED BOX,2310010224, 0 , 1 ,(1),N/A,$0 ,$7 
170379,CESAR 4 FLVR VARIETY CUBE,2310010257, 4 , 4 , 0 ,100%,$74 ,$74 
171102,CESAR SAVRY DELGHTS FM BCN&PT,2310010266, 0 , 17 ,(17),N/A,$0 ,$14 
172537,CESAR SAVORY DEL RT CHKN FLV,2310010269, 0 , 9 ,(9),N/A,$0 ,$7 
173265,CESAR SAVORY DLGHTS HM&EGG,2310010270, 0 , 7 ,(7),N/A,$0 ,$5 
115743,PEDIGREE LARGE BREED,2310010281, 3 , 6 ,(3),200%,$41 ,$81 
312796,PEDIGREE DENTASTIX FRESH MED S,2310010310, 0 , 2 ,(2),N/A,$0 ,$7 
312806,PEDIGREE DENTASTIX FRESH LARGE,2310010312, 4 , 2 , 2 ,50%,$42 ,$21 
231384,CESAR SOFTIES FILET MIGNON FLA,2310010327, 8 , 4 , 4 ,50%,$29 ,$14 
231379,CESAR SOFTIES MEDLEY TRIO,2310010329, 8 , 7 , 1 ,88%,$29 ,$25 
157162,PEDIGREE ADLT CMPLT RSTD CKHN,2310010339, 4 , 5 ,(1),125%,$54 ,$68 
113654,PEDIGREE SMALL BREED NUTRITION,2310010364, 4 , 4 , 0 ,100%,$20 ,$20 
113656,PEDIGREE PUPPY COMPLETE NUTRIT,2310010365, 4 , 2 , 2 ,50%,$20 ,$10 
112071,TEMPTATIONS MIX UPS SURFERS DL,2310010396, 0 , 8 ,(8),N/A,$0 ,$25 
97913,TEMPTATIONS MIX UPS BACKYARD,2310010397, 10 , 12 ,(2),120%,$31 ,$38 
170237,CESAR SD ANGUS BEEF SINGLE,2310010515, 0 , 6 ,(6),N/A,$0 ,$5 
325574,TEMPTATIONS TEMPTING TUNA FLAV,2310010517, 0 , 1 ,(1),N/A,$0 ,$3 
97911,TEMPTATIONS MIX UPS CATNIP FEV,2310010648, 0 , 7 ,(7),N/A,$0 ,$22 
260826,CESAR BREAKFAST & DINNER MEALS,2310010652, 0 , 2 ,(2),N/A,$0 ,$19 
275050,PEDIGREE ADULT COMPLETE,2310010736, 4 , 5 ,(1),125%,$92 ,$116 
267883,TEMPTATIONS TASTY CHICKEN FLAV,2310010755, 0 , 1 ,(1),N/A,$0 ,$8 
169951,CSR HM DLGHTS BF STEW,2310010831, 0 , 10 ,(10),N/A,$0 ,$8 
169949,CSR HM DLGHTS TRKY&POT,2310010832, 0 , 6 ,(6),N/A,$0 ,$5 
